t,x,y,yaw,act_vx,act_wz,closest_i,cte,target_x,target_y,dist_target,dist_goal,desired_yaw,heading_err,heading_err_deg,cmd_vx,cmd_wz,wz_sat,at_goal
1789855251.5036,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.5523,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.6006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.6507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.7013,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.7509,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.8006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.8510,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.9008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.9506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.0010,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.0507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.1011,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.1506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.2006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.2507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.3007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.3505,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.4006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.4507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.5021,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.5578,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.6007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.6508,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.7007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.7509,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.8007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.8507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.9007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855252.9507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.0008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.0540,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.1007,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.1506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855253.2009,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
